onset,duration,pitch,phrase
0.0,2.0,G4,A:1
2.0,2.0,C5,A:1
4.0,2.0,E4,A:1
6.0,2.0,A4,A:1
8.0,2.0,G4,A:1
10.0,2.0,F4,A:1
12.0,1.0,E4,A:1
13.0,1.0,D4,A:1
14.0,2.0,E4,A:1
16.0,2.0,G4,A:2
18.0,2.0,C5,A:2
20.0,2.0,D5,A:2
22.0,2.0,B4,A:2
24.0,2.0,G4,A:2
26.0,2.0,A4,A:2
28.0,1.0,G4,A:2
29.0,1.0,F#4,A:2
30.0,2.0,G4,A:2
32.0,2.0,G4,A:3
34.0,2.0,D5,A:3
36.0,2.0,C5,A:3
38.0,2.0,B4,A:3
40.0,1.0,C5,A:3
41.0,1.0,D5,A:3
42.0,2.0,E5,A:3
44.0,2.0,D5,A:3
46.0,2.0,C5,A:3
48.0,2.0,C5,A:4
50.0,2.0,D5,A:4
52.0,2.0,B4,A:4
54.0,2.0,C5,A:4
56.0,1.0,E4,A:4
57.0,1.0,F4,A:4
58.0,2.0,E4,A:4
60.0,2.0,D4,A:4
62.0,2.0,C4,A:4
