onset,duration,pitch,phrase
0.0,1.0,G4,A:1
1.0,1.5,G4,A:1
2.5,0.5,G4,A:1
3.0,1.0,A-4,A:1
4.0,1.0,G4,A:1
5.0,1.0,F4,A:1
6.0,1.0,B-4,A:1
7.0,1.0,E-4,A:1
8.0,1.0,F4,A:1
9.0,1.5,G4,A:1
10.5,0.5,A-4,A:1
11.0,1.0,B-4,A:1
12.0,1.0,C5,A:1
13.0,1.0,A-4,A:1
14.0,1.0,G4,A:1
15.0,1.0,F4,A:1
16.0,1.0,F4,A:2
17.0,1.5,G4,A:2
18.5,0.5,G4,A:2
19.0,1.0,A-4,A:2
20.0,1.0,G4,A:2
21.0,0.5,A-4,A:2
21.5,0.5,B-4,A:2
22.0,0.5,C5,A:2
22.5,0.5,D5,A:2
23.0,1.0,E-5,A:2
24.0,1.0,C5,A:3
25.0,1.5,B-4,A:3
26.5,0.5,G4,A:3
27.0,1.0,E-4,A:3
28.0,1.0,A-4,A:3
29.0,1.0,G4,A:3
30.0,1.0,F4,A:3
31.0,2.0,E-4,A:3
33.0,2.0,G4,C:1
35.0,1.0,G4,C:1
36.0,1.0,G4,C:1
37.0,1.5,G4,C:1
38.5,0.5,G4,C:1
39.0,1.0,G4,C:1
40.0,1.0,F4,C:1
41.0,3.0,G4,C:1
44.0,1.0,G4,D:1
45.0,1.0,B-4,D:1
46.0,1.0,G4,D:1
47.0,1.0,E-4,D:1
48.0,1.0,A-4,D:1
49.0,2.0,G4,D:1
51.0,2.0,F4,D:1
53.0,3.0,E-4,D:1
