onset,duration,pitch,phrase
0.0,1.0,C4,A:1
1.0,2.0,C4,A:1
3.0,1.0,C4,A:1
4.0,2.0,D4,A:1
6.0,1.0,D4,A:1
7.0,1.0,F4,A:1
8.0,1.0,E4,A:1
9.0,1.0,D4,A:1
10.0,2.0,E4,A:1
12.0,1.0,E4,B:1
13.0,2.0,F4,B:1
15.0,1.0,F4,B:1
16.0,2.0,G4,B:1
18.0,1.0,G4,B:1
19.0,1.0,A4,B:1
20.0,1.0,G4,B:1
21.0,1.0,F4,B:1
22.0,2.0,G4,B:1
24.0,1.0,C5,C:1
25.0,1.0,C5,C:1
26.0,1.0,B4,C:1
27.0,1.0,A4,C:1
28.0,2.0,G4,C:1
30.0,1.0,G4,C:1
31.0,1.0,A4,C:1
32.0,1.0,B4,C:1
33.0,1.0,C5,C:1
34.0,3.0,D5,C:1
37.0,1.0,C5,D:1
38.0,1.0,B4,D:1
39.0,1.0,A4,D:1
40.0,1.0,A4,D:1
41.0,1.0,G4,D:1
42.0,1.0,E4,D:1
43.0,1.0,F4,D:1
44.0,1.0,E4,D:1
45.0,1.0,D4,D:1
46.0,2.0,C4,D:1
