onset,duration,pitch,phrase
0.0,2.0,G4,A:1
2.0,1.0,G4,A:1
3.0,1.0,G4,A:1
4.0,2.0,A4,A:1
6.0,2.0,A4,A:1
8.0,1.0,B4,A:1
9.0,1.0,G4,A:1
10.0,1.0,G4,A:1
11.0,1.0,A4,A:1
12.0,2.0,G4,A:1
14.0,2.0,F#4,A:1
16.0,2.0,B4,A:2
18.0,1.0,B4,A:2
19.0,1.0,B4,A:2
20.0,1.5,B4,A:2
21.5,0.5,A4,A:2
22.0,2.0,A4,A:2
24.0,1.5,G4,A:2
25.5,0.5,G4,A:2
26.0,1.0,A4,A:2
27.0,1.0,G4,A:2
28.0,2.0,G4,A:2
30.0,2.0,F#4,A:2
32.0,2.0,B4,B:1
34.0,1.0,G4,B:1
35.0,1.0,G4,B:1
36.0,1.5,C5,B:1
37.5,0.5,B4,B:1
38.0,2.0,A4,B:1
40.0,1.5,B4,B:1
41.5,0.5,B4,B:1
42.0,1.0,A4,B:1
43.0,1.0,G4,B:1
44.0,1.0,F#4,B:1
45.0,1.0,E4,B:1
46.0,2.0,D4,B:1
48.0,2.0,B4,B:2
50.0,1.0,G4,B:2
51.0,1.0,A4,B:2
52.0,2.0,G4,B:2
54.0,2.0,F#4,B:2
56.0,4.0,G4,B:2
