onset,duration,pitch,phrase
0.0,1.0,C4,A:1
1.0,1.0,F4,A:1
2.0,1.0,E-4,A:1
3.0,1.0,A-4,A:1
4.0,1.0,B-4,A:1
5.0,1.0,B-4,A:1
6.0,2.0,C5,A:1
8.0,1.0,D-5,A:1
9.0,0.5,C5,A:1
9.5,0.5,B-4,A:1
10.0,1.0,C5,A:1
11.0,1.0,A-4,A:1
12.0,1.0,G4,A:1
13.0,1.0,F4,A:1
14.0,2.0,E-4,A:1
16.0,1.0,B-4,B:1
17.0,1.0,E-4,B:1
18.0,1.0,F4,B:1
19.0,1.0,G4,B:1
20.0,1.0,A-4,B:1
21.0,1.0,B-4,B:1
22.0,2.0,C5,B:1
24.0,1.0,D-5,B:1
25.0,1.0,B-4,B:1
26.0,1.0,A-4,B:1
27.0,0.5,F4,B:1
27.5,0.5,A-4,B:1
28.0,1.0,B-4,B:1
29.0,1.0,B-4,B:1
30.0,2.0,A-4,B:1
