onset,duration,pitch,phrase
0.0,0.75,A4,A:1
0.75,0.25,G4,A:1
1.0,1.0,F4,A:1
2.0,1.0,C4,A:1
3.0,1.0,F4,A:1
4.0,0.75,G4,A:1
4.75,0.25,F4,A:1
5.0,1.0,E4,A:1
6.0,2.0,D4,A:1
8.0,0.75,F4,A:1
8.75,0.25,G4,A:1
9.0,1.0,A4,A:1
10.0,1.0,A4,A:1
11.0,1.0,C5,A:1
12.0,1.0,F4,A:1
13.0,3.0,G4,A:1
16.0,0.75,A4,A:2
16.75,0.25,G4,A:2
17.0,1.0,F4,A:2
18.0,1.0,C4,A:2
19.0,1.0,F4,A:2
20.0,0.75,G4,A:2
20.75,0.25,F4,A:2
21.0,1.0,E4,A:2
22.0,2.0,D4,A:2
24.0,0.75,G4,A:2
24.75,0.25,F4,A:2
25.0,1.0,E4,A:2
26.0,1.0,C5,A:2
27.0,0.5,B4,A:2
27.5,0.5,A4,A:2
28.0,0.5,F4,A:2
28.5,0.5,D4,A:2
29.0,3.0,C4,A:2
32.0,0.75,C5,A:3
32.75,0.25,B-4,A:3
33.0,1.0,A4,A:3
34.0,1.0,A4,A:3
35.0,1.0,F4,A:3
36.0,1.0,F4,A:3
37.0,2.0,D4,A:3
39.0,1.0,B-4,A:3
40.0,1.0,A4,A:3
41.0,1.5,G4,A:3
42.5,0.5,A4,A:3
43.0,0.5,G4,A:3
43.5,0.5,F4,A:3
44.0,0.5,E4,A:3
44.5,0.5,D4,A:3
45.0,3.0,C4,A:3
48.0,0.75,F4,A:4
48.75,0.25,G4,A:4
49.0,1.0,A4,A:4
50.0,1.0,A4,A:4
51.0,1.0,B-4,A:4
52.0,1.0,C5,A:4
53.0,2.0,D5,A:4
55.0,1.0,B-4,A:4
56.0,0.75,F4,A:4
56.75,0.25,G4,A:4
57.0,1.5,A4,A:4
58.5,0.5,G4,A:4
59.0,1.0,D4,A:4
60.0,1.0,E4,A:4
61.0,3.0,F4,A:4
